SR No,출처,파일목록,공정,Tag No 수정,카테고리,클래스,타입,C|C|T
DOF522002061,1.0PID,"B7S38-522-S0002,Column Data Sheet.xlsx,D-522-A208,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-108,FIXED EQUIPMENT,VESSEL,COLUMN,FIXED EQUIPMENT|VESSEL|COLUMN
DOF522004113,1.0PID,"Column Data Sheet.xlsx,D-522-A205,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-106,FIXED EQUIPMENT,VESSEL,COLUMN,FIXED EQUIPMENT|VESSEL|COLUMN
DOF522005601,1.0PID,"Column Data Sheet.xlsx,D-522-A212,HCR팀 - 522-LUBE OIL UNIT,설비포탈",522,522-C-109,FIXED EQUIPMENT,VESSEL,COLUMN,FIXED EQUIPMENT|VESSEL|COLUMN
DOF522000246,1.0PID,"B7S38-522-A701,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-157,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522000344,1.0PID,"B7S38-522-A711,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-150,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522000422,1.0PID,"B7S38-522-A721,B7S38-522-A901,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-156,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522003074,1.0PID,"D-522-A108B,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-502,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522004245,1.0PID,"D-522-A206,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-107,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522005223,1.0PID,"D-522-A209,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-110,FIXED EQUIPMENT,VESSEL,HORIZONTAL,FIXED EQUIPMENT|VESSEL|HORIZONTAL
DOF522000391,1.0PID,"B7S38-522-A721,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-155,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522001066,1.0PID,"B7S38-522-A901C,B7S38-522-S0003,D-522-A112,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-104,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522001439,1.0PID,"B7S38-522-A904,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-501,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002166,1.0PID,"B7S38-522-S0003,D-522-A113,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-105,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002476,1.0PID,"D-522-A106,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-101,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002724,1.0PID,"D-522-A108,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-010,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002817,1.0PID,"D-522-A108A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-023,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522002848,1.0PID,"D-522-A108A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-010,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003151,1.0PID,"D-522-A108C,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-504,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003177,1.0PID,"D-522-A108C,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-503,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003860,1.0PID,"D-522-A112,Pressure Vessel Data Sheet.xlsx,Small Injection Tank.xlsx,설비포탈",522,522-HVD-011,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522003870,1.0PID,"D-522-A112,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-012,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004398,1.0PID,"D-522-A207,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-016,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004479,1.0PID,"D-522-A207A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-053,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004494,1.0PID,"D-522-A207A,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-C-112,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004726,1.0PID,"D-522-A207C,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-HVD-916,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
DOF522004819,1.0PID,"D-522-A207D,HCR팀 - 522-LUBE OIL UNIT,Pressure Vessel Data Sheet.xlsx,설비포탈",522,522-FVD-212,FIXED EQUIPMENT,VESSEL,VERTICAL,FIXED EQUIPMENT|VESSEL|VERTICAL
