Model,SITE,공정번호(취합열),,2팀검사원,일신1차,Remark
GAD,/E104:ELEC,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/I103:INST,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P102A:PP,102,,102,102,현업 검토 요. 업체 미검토 Site
GAD,/P102B:EQUI,102,,102,102,현업 검토 요. 업체 미검토 Site
GAD,/P102B:PIPESUPP,102,,102,102,현업 검토 요. 업체 미검토 Site
GAD,/P102B:PP,102,,102,102,현업 검토 요. 업체 미검토 Site
GAD,/P102B:PP_SB,102,,102,102,현업 검토 요. 업체 미검토 Site
GAD,/P103A:EQUI,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103A:PIPESUPP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103A:PP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103A:PP_SB,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103B:EQUI,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103B:PIPESUPP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103B:PP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103B:PP_SB,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103C:EQUI,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103C:PIPESUPP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103C:PP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103C:PP_SB,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103D:EQUI,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103D:PIPESUPP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103D:PP,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P103D:PP_SB,103,,103,103,현업 검토 요. 업체 미검토 Site
GAD,/P104A:EQUI,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104A:PIPESUPP,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104A:PP,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104A:PP_SB,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104B:EQUI,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104B:PIPESUPP,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104B:PP,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P104B:PP_SB,104,,104,104,현업 검토 요. 업체 미검토 Site
GAD,/P105:EQUI,105,,105,105,현업 검토 요. 업체 미검토 Site
GAD,/P105:PIPE,105,,105,105,현업 검토 요. 업체 미검토 Site
GAD,/P105:SCAN,105,,105,105,현업 검토 요. 업체 미검토 Site
GAD,/P109:EQUI,109,,109,109,현업 검토 요. 업체 미검토 Site
GAD,/P109:PP,109,,109,109,현업 검토 요. 업체 미검토 Site
GNH,/1314_,공장외곽관로 임,,공장외곽관로 임,공장외곽관로 임,처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GNH,/ADMIN_SITE,DB TEST 목적으로 만들어진 SITE,,DB TEST 목적으로 만들어진 SITE,DB TEST 목적으로 만들어진 SITE,처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GNH,/CIVIL,716,,716,716,
GNH,/COG-DatumPoint,"712,720",,"712,720","712,720",
GNH,/DUCT,716,,716,716,
GNH,/DYPNF:EQUI,732,,732,732,
GNH,/DYPNF:INFO,732,,732,732,
GNH,/DYPNF:PEQUI,732,,732,732,
GNH,/DYPNF:PIPE,732,,732,732,
GNH,/DYPNF:PIPERACK,732,,732,732,
GNH,/E:GR100:MCOA1:ECONDUIT,712,,712,712,
GNH,/E:GR100:MCOA1:EEQUI,712,,712,712,
GNH,/E:GR100:MCOA2:ECONDUIT,712,,712,712,
GNH,/E:GR100:MCOA2:EEQUI,712,,712,712,
GNH,/E:GR100:MCOB1:ECONDUIT,712,,712,712,
GNH,/E:GR100:MCOB1:EEQUI,712,,712,712,
GNH,/E:GR100:MCOB2:ECONDUIT,712,,712,712,
GNH,/E:GR100:MCOB2:EEQUI,712,,712,712,
GNH,/E:GR100:MFURA:ECONDUIT,712,,712,712,
GNH,/E:GR100:MFURN1:ECONDUIT,712,,712,712,
GNH,/E:GR100:MFURN1:EEQUI,712,,712,712,
GNH,/E:GR100:MFURN2:ECONDUIT,712,,712,712,
GNH,/E:GR100:MFURN2:EEQUI,712,,712,712,
GNH,/E:GR100:MFURN3:ECONDUIT,712,,712,712,
GNH,/E:GR100:MFURN3:EEQUI,712,,712,712,
GNH,/E:GR100:MFURN4:ECONDUIT,712,,712,712,
GNH,/E:GR100:MFURN4:EEQUI,712,,712,712,
GNH,/E:GR100:MFURN5:ECONDUIT,712,,712,712,
GNH,/E:GR100:MFURN5:EEQUI,712,,712,712,
GNH,/E:GR100:MHOA1:ECONDUIT,712,,712,712,
GNH,/E:GR100:MHOA1:EEQUI,712,,712,712,
GNH,/E:GR100:MHOA2:ECONDUIT,712,,712,712,
GNH,/E:GR100:MHOA2:EEQUI,712,,712,712,
GNH,/E:GR100:MPHUA:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPHUA:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAA:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAA:EEQUI,"712,714",,"712,714","712,714",
GNH,/E:GR100:MPRAB:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAB:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAC:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAD:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAD:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAE:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAE:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAF:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAF:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAG:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAG:EEQUI,"712,716",,"712,716","712,716",
GNH,/E:GR100:MPRAH:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAH:EEQUI,712,,712,712,
GNH,/E:GR100:MPRAI:ECONDUIT,712,,712,712,
GNH,/E:GR100:MPRAI:EEQUI,712,,712,712,
GNH,/E:GR200:PEBAA:ECONDUIT,732,,732,732,
GNH,/E:GR200:PEPA1:ECONDUIT,732,,732,732,
GNH,/E:GR200:PEPA1:EEQUI,732,,732,732,
GNH,/E:GR200:PEPA1:ETRAY,732,,732,732,
GNH,/E:GR200:PEPA2:ECONDUIT,732,,732,732,
GNH,/E:GR200:PEPA2:EEQUI,732,,732,732,
GNH,/E:GR200:PEPA3:ECONDUIT,732,,732,732,
GNH,/E:GR200:PEPA3:EEQUI,732,,732,732,
GNH,/E:GR200:PEPA4:ECONDUIT,732,,732,732,
GNH,/E:GR200:PEPA4:EEQUI,732,,732,732,
GNH,/E:GR200:PEPA5:ECONDUIT,732,,732,732,
GNH,/E:GR200:PEPA5:EEQUI,732,,732,732,
GNH,/E:GR200:PEWHA:EEQUI,732,,732,732,
GNH,/E:GR200:PEWHA:EUG,732,,732,732,
GNH,/E:GR300:UAIRS:ECONDUIT,716,,716,716,
GNH,/E:GR300:UAIRS:EEQUI,"720,732",,"720,732","720,732",
GNH,/E:GR300:UCONS:ECONDUIT,716,,716,716,
GNH,/E:GR300:UCONS:EEQUI,"716,720",,"716,720","716,720",
GNH,/E:GR300:UCTMS:ECONDUIT,716,,716,716,
GNH,/E:GR300:UCTMS:EEQUI,"712,716",,"712,716","712,716",
GNH,/E:GR300:UCTPS:ECONDUIT,716,,716,716,
