No.,설비속성ID,설비속성명,설비속성식별명,설비속성설명,속성그룹,속성구분,데이터유형,최대길이,소수점자리수,단위그룹,기본단위,필수속성,정렬순서,상세설비속성여부,사용여부
1,A0001,설비고유번호,설비고유번호,설비고유번호,기본정보,공통속성,문자,18.0,0.0,,,N,10,Y,Y
2,A0002,설비번호,설비번호,설비번호,기본정보,공통속성,문자,50.0,0.0,,,Y,20,Y,Y
3,A0003,설비고유명,설비고유명,설비고유명,기본정보,공통속성,문자,100.0,0.0,,,N,30,N,Y
4,A0004,설비명,설비명,설비명,기본정보,공통속성,문자,100.0,0.0,,,Y,40,N,Y
5,A0049,설비고유상태코드,설비상태코드,설비고유상태코드,기본정보,공통속성,문자,4.0,0.0,,,Y,50,N,Y
6,A0005,설비상태코드,설비상태코드,설비상태코드,기본정보,공통속성,문자,4.0,0.0,,,Y,60,Y,Y
7,A0006,적용시작일자,적용시작일자,적용시작일자,기본정보,공통속성,날짜,8.0,0.0,,,N,70,Y,Y
8,A0007,적용종료일자,적용종료일자,적용종료일자,기본정보,공통속성,날짜,8.0,0.0,,,N,80,Y,Y
9,A0008,설비카테고리코드,설비카테고리코드,설비카테고리코드,기본정보,공통속성,문자,8.0,0.0,,,N,90,Y,Y
10,A0009,설비클래스코드,설비클래스코드,설비클래스코드,기본정보,공통속성,문자,8.0,0.0,,,N,100,Y,Y
11,A0010,설비유형코드,설비유형코드,설비유형코드,기본정보,공통속성,문자,10.0,0.0,,,Y,110,Y,Y
12,A0011,설비등급코드,설비등급코드,설비등급코드,기본정보,공통속성,문자,1.0,0.0,,,N,120,N,Y
13,A0012,설비등급변경일자,설비등급변경일자,설비등급변경일자,기본정보,공통속성,문자,8.0,0.0,,,N,130,N,Y
14,A0013,설비등급변경사유,설비등급변경사유,설비등급변경사유,기본정보,공통속성,문자,100.0,0.0,,,N,140,N,Y
15,A0014,계획플랜트코드,계획플랜트코드,계획플랜트코드,조직 및 구조 정보,공통속성,문자,4.0,0.0,,,N,150,N,Y
16,A0015,유지보수플랜트코드,유지보수플랜트코드,유지보수플랜트코드,조직 및 구조 정보,공통속성,문자,4.0,0.0,,,Y,160,N,Y
17,A0016,기능위치코드,기능위치코드,기능위치코드,조직 및 구조 정보,공통속성,문자,30.0,0.0,,,Y,170,N,Y
18,A0017,코스트센터코드,코스트센터코드,코스트센터코드,조직 및 구조 정보,공통속성,문자,10.0,0.0,,,N,180,N,Y
19,A0018,WBS코드,WBS코드,WBS코드,조직 및 구조 정보,공통속성,문자,20.0,0.0,,,N,190,N,Y
20,A0019,사업영역코드,사업영역코드,사업영역코드,조직 및 구조 정보,공통속성,문자,4.0,0.0,,,N,200,N,Y
21,A0020,관리회계영역코드,관리회계영역코드,관리회계영역코드,조직 및 구조 정보,공통속성,문자,4.0,0.0,,,N,210,N,Y
22,A0021,취득금액,취득금액,취득금액,일반정보,공통속성,숫자,18.0,3.0,,￦,N,220,N,Y
23,A0022,취득일자,취득일자,취득일자,일반정보,공통속성,날짜,8.0,0.0,,,N,230,N,Y
24,A0023,제조국가코드,제조국가코드,제조국가코드,일반정보,공통속성,문자,20.0,0.0,,,N,240,N,Y
25,A0024,제작년월,제작년월,제작년월,일반정보,공통속성,문자,6.0,0.0,,,N,250,N,Y
26,A0025,제조사명,제조사명,제조사명,일반정보,공통속성,문자,100.0,0.0,,,N,260,N,Y
27,A0026,제조사시리얼번호,제조사시리얼번호,제조사시리얼번호,일반정보,공통속성,문자,50.0,0.0,,,N,270,N,Y
28,A0027,모델번호,모델번호,모델번호,일반정보,공통속성,문자,100.0,0.0,,,N,280,N,Y
29,A0028,SAP자산번호,SAP자산번호,SAP자산번호,조직 및 구조 정보,공통속성,문자,8.0,0.0,,,N,290,N,Y
30,A0029,PSM유형코드,PSM유형코드,PSM유형코드,기타정보,공통속성,문자,10.0,0.0,,,N,300,N,Y
31,A0030,관계법령명,관계법령명,관계법령명,기타정보,공통속성,문자,100.0,0.0,,,N,310,N,Y
32,A0031,법정검사주기값,법정검사주기값,법정검사주기값,기타정보,공통속성,숫자,18.0,0.0,,month,N,320,N,Y
33,A0032,TA설비공정ID,TA설비공정ID,TA설비공정ID,조직 및 구조 정보,공통속성,문자,5.0,0.0,,,N,330,N,Y
34,A0033,설비격리구분명,설비격리구분명,설비격리구분명,조직 및 구조 정보,공통속성,문자,20.0,0.0,,,N,340,N,Y
35,A0034,설치위치명,설치위치명,설치위치명,조직 및 구조 정보,공통속성,문자,200.0,0.0,,,N,350,N,Y
36,A0035,X좌표,X좌표,X좌표,조직 및 구조 정보,공통속성,숫자,20.0,10.0,,,N,360,N,Y
37,A0036,Y좌표,Y좌표,Y좌표,조직 및 구조 정보,공통속성,숫자,20.0,10.0,,,N,370,N,Y
38,A0037,Z좌표,Z좌표,Z좌표,조직 및 구조 정보,공통속성,숫자,20.0,10.0,,,N,380,N,Y
39,A0038,기존설비번호,기존설비번호,기존설비번호,기타정보,공통속성,문자,50.0,0.0,,,N,390,Y,Y
40,A0050,원본설비번호,원본설비번호,원본설비번호,기타정보,공통속성,문자,100.0,0.0,,,N,400,Y,Y
41,A0039,기타비고내용,기타비고내용,기타비고내용,기타정보,공통속성,문자,200.0,0.0,,,N,410,Y,Y
42,A0040,기술부문담당부서코드,기술부문담당부서코드,기술부문담당부서코드,조직 및 구조 정보,공통속성,문자,10.0,0.0,,,N,420,N,Y
43,A0041,정비부문담당부서코드,정비부문담당부서코드,정비부문담당부서코드,조직 및 구조 정보,공통속성,문자,10.0,0.0,,,N,430,N,Y
44,A0042,작업장코드,작업장코드,작업장코드,조직 및 구조 정보,공통속성,문자,10.0,0.0,,,N,440,N,Y
45,A0043,계획자그룹코드,계획자그룹코드,계획자그룹코드,조직 및 구조 정보,공통속성,문자,10.0,0.0,,,N,450,N,Y
46,A0044,데이터출처내용,데이터출처내용,데이터출처내용,기타정보,공통속성,문자,"1,000.0",0.0,,,N,460,Y,Y
47,A0045,삭제사유내용,삭제사유내용,삭제사유내용,기타정보,공통속성,문자,100.0,0.0,,,N,470,Y,Y
48,A0046,데이터정비여부,데이터정비여부,데이터정비여부,기타정보,공통속성,문자,1.0,0.0,,,Y,480,Y,Y
49,A0047,데이터정비임시번호,데이터정비임시번호,데이터정비임시번호,기타정보,공통속성,문자,20.0,0.0,,,N,490,Y,Y
50,A0048,상세설비여부,상세설비여부,상세설비여부,기본정보,공통속성,문자,1.0,0.0,,,N,500,Y,Y
51,A0051,대표설비번호,대표설비번호,대표설비번호,기본정보,공통속성,문자,50.0,0.0,,,N,510,Y,Y
52,A0052,SAP자재코드,SAP자재코드,SAP자재코드,기타정보,공통속성,문자,50.0,0.0,,,N,520,Y,Y
53,10001,(AIR) (GAS) REQUIRED,,(AIR) (GAS) REQUIRED,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10001,N,Y
54,10002,100% US INSPECTION AFTER ROUGH MACHINING,,100% US INSPECTION AFTER ROUGH MACHINING,GENERAL PURPOSE STEAM TURBINE,개별속성,문자,"1,000.0",0.0,,,N,10002,N,Y
55,10003,2 OUT OF 3 VOTING LOGIC OF OVERSPEED SHUTDOWN SYSTEM,,2 OUT OF 3 VOTING LOGIC OF OVERSPEED SHUTDOWN SYSTEM,SPECIAL PURPOSE STEAM TURBINE,개별속성,코드,"1,000.0",0.0,,,N,10003,N,Y
56,10004,2 SETS OF BATTERIES REQUIRED,,2 SETS OF BATTERIES REQUIRED,ENGINE,개별속성,문자,"1,000.0",0.0,,,N,10004,N,Y
57,10005,2 YEARS SUPPLY,,2 YEARS SUPPLY,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,10005,N,Y
58,10006,2ND STAGE PINION WEIGHT,,2ND STAGE PINION WEIGHT,INTEGRALLY GEARED COMPRESSOR (AIR),개별속성,숫자,18.0,5.0,,,N,10006,N,Y
59,10007,3-SCREW PUMP REQUIRED,,3-SCREW PUMP REQUIRED,ROTARY PUMP,개별속성,코드,"1,000.0",0.0,,,N,10007,N,Y
60,10008,4 HOUR COMBINED TEST_REQUIRED,,4 HOUR COMBINED TEST_REQUIRED,INTEGRALLY GEARED COMPRESSOR (AIR),개별속성,코드,"1,000.0",0.0,,,N,10008,N,Y
61,10009,4 HOUR COMBINED TEST_WITNESS REQUIRED,,4 HOUR COMBINED TEST_WITNESS REQUIRED,INTEGRALLY GEARED COMPRESSOR (AIR),개별속성,코드,"1,000.0",0.0,,,N,10009,N,Y
62,10010,50 PERCENT RECOVERY MAXIMUM TEMPERATURE,,50 PERCENT RECOVERY MAXIMUM TEMPERATURE,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10010,N,Y
63,10011,614 LUBE OIL SYSTEM REQUIRED,,614 LUBE OIL SYSTEM REQUIRED,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,10011,N,Y
64,10012,614 LUBE OIL SYSTEM_DEDICATED SYSTEM,,614 LUBE OIL SYSTEM_DEDICATED SYSTEM,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,10012,N,Y
65,10013,615 LUBE OIL SYSTEM_COMMON SYSTEM,,615 LUBE OIL SYSTEM_COMMON SYSTEM,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,10013,N,Y
66,10014,A-BUTANE_ALTERNATE,,A-BUTANE_ALTERNATE,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10014,N,Y
67,10015,A-BUTANE_NORMAL,,A-BUTANE_NORMAL,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10015,N,Y
68,10016,A-BUTANE_STARTING,,A-BUTANE_STARTING,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10016,N,Y
69,10017,A-PENTANE_ALTERANTE,,A-PENTANE_ALTERANTE,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10017,N,Y
70,10018,A-PENTANE_NORMAL,,A-PENTANE_NORMAL,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10018,N,Y
71,10019,A-PENTANE_STARTING,,A-PENTANE_STARTING,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,10019,N,Y
72,10020,A.C. STATOR RESISTANCE,,A.C. STATOR RESISTANCE,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10020,N,Y
73,10021,A.C. STATOR RESISTANCE AT TEMPERATURE,,A.C. STATOR RESISTANCE AT TEMPERATURE,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10021,N,Y
74,10022,ACCELERATION HEAD,,ACCELERATION HEAD,RECIPROCATING PUMP,개별속성,숫자,18.0,5.0,,,N,10022,N,Y
75,10023,ACCELERATION TIME(MANUFACTUER AND LOAD AT 85 PERCENT RATED VOLT),,ACCELERATION TIME(MANUFACTUER AND LOAD AT 85 PERCENT RATED VOLT),ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10023,N,Y
76,10024,ACCELERATION TIME(MANUFACTUER ONLY AT 85 PERCENT RATED VOLT),,ACCELERATION TIME(MANUFACTUER ONLY AT 85 PERCENT RATED VOLT),ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10024,N,Y
77,10025,ACCELEROMETER LOACATION,,ACCELEROMETER LOACATION,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10025,N,Y
78,10026,ACCELEROMETER MANUFACTURER,,ACCELEROMETER MANUFACTURER,AXIAL AND CENTRIFUGAL COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,10026,N,Y
